Patient, patid, Person, person_id
Patient, gender, Person, gender_concept_id
Patient, yob, Person, year_of_birth
Patient, mob, Person, month_of_birth
Patient, patid, Person, care_site_id
Patient, patid, Person, person_source_value
Patient, gender, Person, gender_source_value
Patient, patid, OBSERVATION_PERIOD, person_id
Patient, frd, OBSERVATION_PERIOD, observation_period_start_date
Patient, tod, OBSERVATION_PERIOD, observation_period_end_date
Practice, person_id, OBSERVATION_PERIOD, person_id
Practice, uts, OBSERVATION_PERIOD, observation_period_start_date
Practice, lcd, OBSERVATION_PERIOD, observation_period_end_date
Practice, pracid, CARE_SITE, care_site_id
Practice, NULL, CARE_SITE, care_site_name
Practice, NULL, CARE_SITE, place_of_service_concept_id
Practice, region, CARE_SITE, location_id
Practice, pracid, CARE_SITE, care_site_source_value
Practice, NULL, CARE_SITE, place_of_service_source_value
Practice, region, LOCATION, location_id
Practice, NULL, LOCATION, address_1
Practice, NULL, LOCATION, address_2
Practice, NULL, LOCATION, city
Practice, NULL, LOCATION, state
Practice, NULL, LOCATION, zip
Practice, NULL, LOCATION, county
Practice, region, LOCATION, location_source_value
Staff, staffid, PROVIDER, provider_id
Staff, NULL, PROVIDER, provider_name
Staff, NULL, PROVIDER, npi
Staff, NULL, PROVIDER, dea
Staff, role, PROVIDER, specialty_concept_id
Staff, staffid, PROVIDER, care_site_id
Staff, NULL, PROVIDER, year_of_birth
Staff, gender, PROVIDER, gender_concept_id
Staff, staffid, PROVIDER, provider_source_value
Staff, role, PROVIDER, specialty_source_value
Staff, NULL, PROVIDER, specialty_source_concept_id
Staff, gender, PROVIDER, gender_source_value
Staff, NULL, PROVIDER, gender_source_concept_id
source_table, source_column, target_table, target_column
Clinical, patid, VISIT_DETAIL, person_id
Clinical, eventdate, VISIT_DETAIL, visit_detail_start_date
Clinical, eventdate, VISIT_DETAIL, visit_detail_start_datetime
Clinical, NULL, VISIT_DETAIL, visit_detail_end_date
Clinical, NULL, VISIT_DETAIL, visit_detail_end_datetime
Clinical, NULL, VISIT_DETAIL, visit_detail_id
Clinical, NULL, VISIT_DETAIL, visit_detail_parent_id
Clinical, constype, VISIT_DETAIL, visit_detail_source_value
Clinical, NULL, VISIT_DETAIL, visit_detail_source_concept_id
Clinical, NULL, VISIT_DETAIL, visit_occurrence_id
Clinical, staffid, VISIT_DETAIL, provider_id
Clinical, patid, VISIT_DETAIL, care_site_id
Clinical, NULL, VISIT_DETAIL, admitting_source_concept_id
Clinical, NULL, VISIT_DETAIL, admitting_source_value
Clinical, NULL, VISIT_DETAIL, discharge_to_concept_id
Clinical, NULL, VISIT_DETAIL, discharge_to_source_value
Immunisation, patid, VISIT_DETAIL, person_id
Immunisation, eventdate, VISIT_DETAIL, visit_detail_start_date
Immunisation, eventdate, VISIT_DETAIL, visit_detail_start_datetime
Immunisation, NULL, VISIT_DETAIL, visit_detail_end_date
Immunisation, NULL, VISIT_DETAIL, visit_detail_end_datetime
Immunisation, NULL, VISIT_DETAIL, visit_detail_id
Immunisation, NULL, VISIT_DETAIL, visit_detail_parent_id
Immunisation, constype, VISIT_DETAIL, visit_detail_source_value
Immunisation, NULL, VISIT_DETAIL, visit_detail_source_concept_id
Immunisation, NULL, VISIT_DETAIL, visit_occurrence_id
Immunisation, staffid, VISIT_DETAIL, provider_id
Immunisation, patid, VISIT_DETAIL, care_site_id
Immunisation, NULL, VISIT_DETAIL, admitting_source_concept_id
Immunisation, NULL, VISIT_DETAIL, admitting_source_value
Immunisation, NULL, VISIT_DETAIL, discharge_to_concept_id
Immunisation, NULL, VISIT_DETAIL, discharge_to_source_value
Referral, patid, VISIT_DETAIL, person_id
Referral, eventdate, VISIT_DETAIL, visit_detail_start_date
Referral, eventdate, VISIT_DETAIL, visit_detail_start_datetime
