source_table,source_column,target_table,target_column
title_akas,titleid,film,film_id
title_akas,titleid,film_actor,film_id
title_akas,titleid,film_category,film_id
title_akas,titleid,film_text,film_id
title_akas,titleid,inventory,film_id
title_akas,title,film,title
title_akas,title,film_text,title
title_akas,region,film,original_language_id
title_akas,language,film,language_id
title_akas,language,language,language_id
title_akas,types,film,special_features
title_akas,attributes,film,description
title_akas,attributes,film_text,description
title_basics,tconst,film,film_id
title_basics,tconst,film_actor,film_id
title_basics,tconst,film_category,film_id
title_basics,tconst,film_text,film_id
title_basics,tconst,inventory,film_id
title_basics,titletype,film_category,category_id
title_basics,primarytitle,film,title
title_basics,primarytitle,film_text,title
title_basics,originaltitle,film,original_language_id
title_basics,isadult,film,rating
title_basics,startyear,film,release_year
title_basics,endyear,film,release_year
title_basics,runtimeminutes,film,length
title_basics,genres,film,description
title_basics,genres,film_text,description
title_crew,tcons,film,film_id
title_crew,tcons,film_actor,film_id
title_crew,tcons,film_category,film_id
title_crew,tcons,film_text,film_id
title_crew,tcons,inventory,film_id
title_crew,directors,actor,actor_id
title_crew,directors,actor,first_name
title_crew,directors,actor,last_name
title_crew,directors,film_actor,actor_id
title_crew,writers,actor,actor_id
title_crew,writers,actor,first_name
title_crew,writers,actor,last_name
title_crew,writers,film_actor,actor_id
title_ratings,tconst,film,film_id
title_ratings,tconst,film_actor,film_id
title_ratings,tconst,film_category,film_id
title_ratings,tconst,film_text,film_id
title_ratings,tconst,inventory,film_id
name_basics,primaryname,actor,actor_id
name_basics,primaryname,actor,first_name
name_basics,primaryname,actor,last_name
name_basics,primaryname,film_actor,actor_id
