consultation_records.event_date -> visit_details.visit_end_date
consultation_records.event_date -> visit_details.visit_start_date
consultation_records.consultation_identifier -> visit_details.visit_source_code
consultation_records.consultation_identifier -> visit_details.visit_detail_identifier
consultation_records.consultation_identifier -> visit_details.visit_concept_identifier
consultation_records.consultation_identifier -> standardized_vocabulary.unique_concept_identifier
consultation_records.consultation_source_code_identifier -> NA,NA
consultation_records.emis_consultation_source_identifier -> NA,NA
consultation_records.cprd_consultation_type_identifier -> NA,NA
consultation_records.entry_date -> NA,NA
consultation_records.patient_identifier -> NA,NA
consultation_records.practice_identifier -> NA,NA
consultation_records.staff_identifier -> NA,NA
health_practice_information.last_collection_date -> clinical_observation_period.observation_period_end_date
health_practice_information.practice_identifier -> healthcare_facility.healthcare_facility_identifier
health_practice_information.practice_identifier -> clinical_observation_period.patient_identifier
health_practice_information.practice_region -> healthcare_facility.location_identifier
health_practice_information.practice_region -> physical_address.location_identifier
health_practice_information.practice_region -> physical_address.location_description
health_practice_information.research_quality_date -> NA,NA
medical_observations.consultation_identifier -> NA,NA
medical_observations.entry_date -> NA,NA
medical_observations.medical_code -> NA,NA
medical_observations.normal_range_high -> NA,NA
medical_observations.normal_range_low -> NA,NA
medical_observations.measurement_unit_identifier -> NA,NA
medical_observations.observation_date -> visit_details.visit_end_date
medical_observations.observation_date -> visit_details.visit_start_date
medical_observations.observation_identifier -> visit_details.visit_detail_identifier
medical_observations.observation_type_identifier -> NA,NA
medical_observations.parent_observation_identifier -> visit_details.visit_detail_parent_record_identifier
medical_observations.patient_identifier -> NA,NA
medical_observations.practice_identifier -> NA,NA
medical_observations.problem_observation_identifier -> NA,NA
medical_observations.staff_identifier -> NA,NA
medical_observations.measurement_value -> NA,NA
patient_information.quality_indicator -> NA,NA
patient_information.estimated_date_of_death -> person_death_information.date_of_death
patient_information.recorded_date_of_death -> NA,NA
patient_information.gender_identifier -> patient_information.gender_identifier
patient_information.month_of_birth -> patient_information.month_of_birth
patient_information.patient_identifier -> person_death_information.deceased_person_identifier
patient_information.patient_identifier -> clinical_observation_period.patient_identifier
patient_information.patient_identifier -> patient_information.patient_identifier
patient_information.patient_identifier -> patient_information.source_identifier
patient_information.patient_category_identifier -> NA,NA
patient_information.practice_identifier -> NA,NA
patient_information.registration_end_date -> clinical_observation_period.observation_period_end_date
patient_information.registration_start_date -> clinical_observation_period.observation_period_start_date
patient_information.usual_general_practitioner_identifier -> patient_information.primary_care_provider_identifier
patient_information.year_of_birth -> patient_information.year_of_birth
patient_medical_issue.expected_duration_in_days -> NA,NA
patient_medical_issue.last_review_date -> NA,NA
patient_medical_issue.last_review_staff_identifier -> NA,NA
patient_medical_issue.observation_identifier -> NA,NA
patient_medical_issue.parent_observation_identifier -> NA,NA
patient_medical_issue.parent_issue_relationship_identifier -> NA,NA
patient_medical_issue.patient_identifier -> NA,NA
patient_medical_issue.practice_identifier -> NA,NA
patient_medical_issue.issue_end_date -> NA,NA
patient_medical_issue.issue_status_identifier -> NA,NA
patient_medical_issue.significance_level -> NA,NA
patient_referral_information.observation_identifier -> NA,NA
patient_referral_information.patient_identifier -> NA,NA
patient_referral_information.practice_identifier -> NA,NA
patient_referral_information.referral_mode_identifier -> NA,NA
patient_referral_information.referral_service_type_identifier -> NA,NA
patient_referral_information.referral_source_organization_identifier -> NA,NA
patient_referral_information.referral_target_organization_identifier -> NA,NA
patient_referral_information.referral_urgency_identifier -> NA,NA
prescription_information.dosage_identifier -> NA,NA
prescription_information.drug_record_identifier -> NA,NA
prescription_information.treatment_duration_days -> NA,NA
prescription_information.entry_date -> NA,NA
prescription_information.estimated_nhs_cost -> NA,NA
prescription_information.event_date -> NA,NA
prescription_information.issue_record_identifier -> NA,NA
prescription_information.patient_identifier -> NA,NA
prescription_information.practice_identifier -> NA,NA
prescription_information.problem_observation_identifier -> NA,NA
prescription_information.drug_code_identifier -> NA,NA
prescription_information.total_quantity -> NA,NA
prescription_information.quantity_unit_identifier -> NA,NA
prescription_information.staff_identifier -> NA,NA
staff_information.job_category_identifier -> healthcare_provider_information.specialty_identifier
staff_information.practice_identifier -> NA,NA
staff_information.staff_identifier -> healthcare_provider_information.provider_source_identifier
staff_information.staff_identifier -> healthcare_provider_information.provider_identifier
