gp_test_record.consultation_identifier -> NA,NA
gp_test_record.consultation_type -> medical_visit_detail.visit_detail_source_value
gp_test_record.entity_type -> NA,NA
gp_test_record.event_date -> medical_visit_detail.medical_visit_detail_start_date
gp_test_record.event_date -> medical_visit_detail.medical_visit_detail_start_datetime
gp_test_record.medical_code -> NA,NA
gp_test_record.patient_identifier -> NA,NA
gp_test_record.snomed_description_id -> NA,NA
gp_test_record.snomed_expression -> NA,NA
gp_test_record.snomed_ct_concept_id -> NA,NA
gp_test_record.snomed_is_assured -> NA,NA
gp_test_record.snomed_is_indicative -> NA,NA
gp_test_record.snomed_mapping_type -> NA,NA
gp_test_record.snomed_mapping_version -> NA,NA
gp_test_record.staff_identifier -> NA,NA
gp_test_record.system_date -> NA,NA
immunisation_records.batch_number -> NA,NA
immunisation_records.immunisation_compound -> NA,NA
immunisation_records.consultation_identifier -> NA,NA
immunisation_records.event_category_code -> medical_visit_detail.visit_detail_source_value
immunisation_records.event_date -> medical_visit_detail.medical_visit_detail_start_date
immunisation_records.event_date -> medical_visit_detail.medical_visit_detail_start_datetime
immunisation_records.immunisation_type -> NA,NA
immunisation_records.medical_code -> NA,NA
immunisation_records.administration_route -> NA,NA
immunisation_records.patient_identifier -> NA,NA
immunisation_records.administered_reason_code -> NA,NA
immunisation_records.snomed_description_id -> NA,NA
immunisation_records.snomed_expression -> NA,NA
immunisation_records.snomed_ct_concept_id -> NA,NA
immunisation_records.snomed_is_assured -> NA,NA
immunisation_records.snomed_is_indicative -> NA,NA
immunisation_records.snomed_mapping_type -> NA,NA
immunisation_records.snomed_mapping_version -> NA,NA
immunisation_records.immunisation_source -> NA,NA
immunisation_records.staff_identifier -> NA,NA
immunisation_records.immunisation_stage -> NA,NA
immunisation_records.immunisation_status -> NA,NA
immunisation_records.system_date -> NA,NA
medical_consultation.consultation_identifier -> NA,NA
medical_consultation.consultation_type -> NA,NA
medical_consultation.consultation_duration -> NA,NA
medical_consultation.event_date -> NA,NA
medical_consultation.patient_identifier -> NA,NA
medical_consultation.staff_identifier -> NA,NA
medical_consultation.system_date -> NA,NA
medical_history.additional_details_identifier -> NA,NA
medical_history.consultation_identifier -> NA,NA
medical_history.consultation_type -> medical_visit_detail.visit_detail_source_value
medical_history.entity_type -> NA,NA
medical_history.episode_type -> NA,NA
medical_history.event_date -> medical_visit_detail.medical_visit_detail_start_date
medical_history.event_date -> medical_visit_detail.medical_visit_detail_start_datetime
medical_history.medical_code -> NA,NA
medical_history.patient_identifier -> NA,NA
medical_history.snomed_description_id -> NA,NA
medical_history.snomed_expression -> NA,NA
medical_history.snomed_ct_concept_id -> NA,NA
medical_history.snomed_is_assured -> NA,NA
medical_history.snomed_is_indicative -> NA,NA
medical_history.snomed_mapping_type -> NA,NA
medical_history.snomed_mapping_version -> NA,NA
medical_history.staff_identifier -> NA,NA
medical_history.system_date -> NA,NA
patient_information.acceptable_patient_flag -> NA,NA
patient_information.capitation_supplement_level -> NA,NA
patient_information.child_health_surveillance_registration_date -> NA,NA
patient_information.child_health_surveillance_registered_flag -> NA,NA
patient_information.current_registration_date -> NA,NA
patient_information.death_date -> death_event.death_date
patient_information.death_date -> death_event.death_date_time
patient_information.family_number -> NA,NA
patient_information.first_registration_date -> clinical_observation_period.start_date
patient_information.patient_gender -> person_information.gender_concept_id
