consultation_information.consultation_identifier -> NA,NA
consultation_information.consultation_type -> NA,NA
consultation_information.consultation_duration -> NA,NA
consultation_information.event_date -> NA,NA
consultation_information.patient_identifier -> NA,NA
consultation_information.staff_identifier -> NA,NA
consultation_information.system_entry_date -> NA,NA
general_practice_event_records.consultation_identifier -> NA,NA
general_practice_event_records.consultation_type_code -> visit_details.visit_source_code
general_practice_event_records.entity_type_identifier -> NA,NA
general_practice_event_records.event_date -> visit_details.visit_start_date
general_practice_event_records.event_date -> visit_details.visit_start_datetime
general_practice_event_records.medical_code -> NA,NA
general_practice_event_records.patient_identifier -> NA,NA
general_practice_event_records.snomed_description_identifier -> NA,NA
general_practice_event_records.snomed_expression_placeholder -> NA,NA
general_practice_event_records.snomed_concept_identifier -> NA,NA
general_practice_event_records.snomed_mapping_assured -> NA,NA
general_practice_event_records.snomed_mapping_indicative -> NA,NA
general_practice_event_records.snomed_mapping_type -> NA,NA
general_practice_event_records.snomed_mapping_version -> NA,NA
general_practice_event_records.staff_identifier -> NA,NA
general_practice_event_records.system_entry_date -> NA,NA
medical_events_information.additional_details_identifier -> NA,NA
medical_events_information.consultation_identifier -> NA,NA
medical_events_information.consultation_type_code -> visit_details.visit_source_code
medical_events_information.entity_type_identifier -> NA,NA
medical_events_information.episode_type_identifier -> NA,NA
medical_events_information.event_date -> visit_details.visit_start_date
medical_events_information.event_date -> visit_details.visit_start_datetime
medical_events_information.medical_code -> NA,NA
medical_events_information.patient_identifier -> NA,NA
medical_events_information.snomed_description_identifier -> NA,NA
medical_events_information.snomed_expression_placeholder -> NA,NA
medical_events_information.snomed_concept_identifier -> NA,NA
medical_events_information.snomed_mapping_assured -> NA,NA
medical_events_information.snomed_mapping_indicative -> NA,NA
medical_events_information.snomed_mapping_type -> NA,NA
medical_events_information.snomed_mapping_version -> NA,NA
medical_events_information.staff_identifier -> NA,NA
medical_events_information.system_entry_date -> NA,NA
medical_practice_information.last_collection_date -> clinical_observation_period.observation_period_end_date
medical_practice_information.practice_identifier -> healthcare_facility.healthcare_facility_identifier
medical_practice_information.practice_identifier -> healthcare_facility.healthcare_facility_source_identifier
medical_practice_information.region_identifier -> healthcare_facility.location_identifier
medical_practice_information.region_identifier -> physical_address.location_identifier
medical_practice_information.region_identifier -> physical_address.location_description
medical_practice_information.research_quality_date -> clinical_observation_period.observation_period_start_date
patient_information.acceptable_patient_indicator -> NA,NA
patient_information.capitation_supplement_level -> NA,NA
patient_information.child_health_surveillance_registration_date -> NA,NA
patient_information.child_health_surveillance_registration_indicator -> NA,NA
patient_information.current_registration_start_date -> NA,NA
patient_information.patient_death_date -> person_death_information.date_of_death
patient_information.patient_death_date -> person_death_information.datetime_of_death
patient_information.family_identifier -> NA,NA
patient_information.first_registration_date -> clinical_observation_period.observation_period_start_date
patient_information.patient_gender_indicator -> patient_information.gender_identifier
patient_information.patient_gender_indicator -> patient_information.gender_source_code
patient_information.internal_transfer_count -> NA,NA
patient_information.marital_status_indicator -> NA,NA
patient_information.birth_month_indicator -> patient_information.month_of_birth
patient_information.patient_identifier -> patient_information.source_identifier
patient_information.patient_identifier -> person_death_information.deceased_person_identifier
patient_information.patient_identifier -> patient_information.patient_identifier
patient_information.patient_identifier -> healthcare_facility.healthcare_facility_identifier
patient_information.patient_identifier -> patient_information.primary_care_facility_identifier
patient_information.patient_identifier -> clinical_observation_period.patient_identifier
patient_information.prescription_exemption_type -> NA,NA
patient_information.registration_gaps_count -> NA,NA
patient_information.registration_status_indicator -> NA,NA
patient_information.transfer_out_date -> clinical_observation_period.observation_period_end_date
patient_information.transfer_out_reason_indicator -> NA,NA
patient_information.vamp_identifier -> NA,NA
patient_information.birth_year -> patient_information.year_of_birth
patient_referral_information.referral_attendance_type -> NA,NA
patient_referral_information.consultation_identifier -> NA,NA
patient_referral_information.consultation_event_type_code -> visit_details.visit_source_code
patient_referral_information.event_date -> visit_details.visit_start_date
patient_referral_information.event_date -> visit_details.visit_start_datetime
patient_referral_information.family_health_services_specialty_code -> NA,NA
patient_referral_information.referral_inpatient_type_code -> NA,NA
patient_referral_information.medical_code -> NA,NA
patient_referral_information.national_health_service_specialty_code -> NA,NA
patient_referral_information.patient_identifier -> NA,NA
patient_referral_information.snomed_description_identifier -> NA,NA
patient_referral_information.snomed_expression_placeholder -> NA,NA
patient_referral_information.snomed_concept_identifier -> NA,NA
patient_referral_information.snomed_mapping_assured_flag -> NA,NA
patient_referral_information.snomed_mapping_indicative_flag -> NA,NA
patient_referral_information.snomed_mapping_type -> NA,NA
patient_referral_information.snomed_mapping_version -> NA,NA
patient_referral_information.referral_source_code -> NA,NA
patient_referral_information.staff_identifier -> NA,NA
patient_referral_information.system_entry_date -> NA,NA
patient_referral_information.referral_urgency_type_code -> NA,NA
prescription_therapy_information.bnf_code -> NA,NA
prescription_therapy_information.consultation_identifier -> NA,NA
prescription_therapy_information.dosage_identifier -> NA,NA
prescription_therapy_information.mapped_drug_code -> NA,NA
prescription_therapy_information.event_date -> visit_details.visit_start_date
prescription_therapy_information.event_date -> visit_details.visit_start_datetime
prescription_therapy_information.issue_sequence_number -> NA,NA
prescription_therapy_information.treatment_days -> NA,NA
prescription_therapy_information.product_pack_count -> NA,NA
prescription_therapy_information.pack_type_identifier -> NA,NA
prescription_therapy_information.patient_identifier -> NA,NA
prescription_therapy_information.as_required_indicator -> NA,NA
prescription_therapy_information.product_code -> NA,NA
prescription_therapy_information.total_quantity -> NA,NA
prescription_therapy_information.staff_identifier -> NA,NA
prescription_therapy_information.system_entry_date -> NA,NA
staff_information.staff_gender_indicator -> healthcare_provider_information.gender_source_code
staff_information.staff_gender_indicator -> healthcare_provider_information.gender_identifier
staff_information.staff_role_identifier -> healthcare_provider_information.specialty_identifier
staff_information.staff_role_identifier -> healthcare_provider_information.specialty_source_code
staff_information.staff_identifier -> healthcare_provider_information.healthcare_facility_identifier
staff_information.staff_identifier -> healthcare_provider_information.provider_source_identifier
staff_information.staff_identifier -> healthcare_provider_information.provider_identifier
vaccination_records.vaccination_batch_number -> NA,NA
vaccination_records.vaccination_compound -> NA,NA
vaccination_records.consultation_identifier -> NA,NA
vaccination_records.consultation_type_code -> visit_details.visit_source_code
vaccination_records.event_date -> visit_details.visit_start_date
vaccination_records.event_date -> visit_details.visit_start_datetime
vaccination_records.vaccination_type -> NA,NA
vaccination_records.medical_code -> NA,NA
vaccination_records.administration_method -> NA,NA
vaccination_records.patient_identifier -> NA,NA
vaccination_records.vaccination_reason -> NA,NA
vaccination_records.snomed_description_identifier -> NA,NA
vaccination_records.snomed_expression_placeholder -> NA,NA
vaccination_records.snomed_concept_identifier -> NA,NA
vaccination_records.snomed_mapping_assured -> NA,NA
vaccination_records.snomed_mapping_indicative -> NA,NA
vaccination_records.snomed_mapping_type -> NA,NA
vaccination_records.snomed_mapping_version -> NA,NA
