current_procedural_terminology_dictionary.item_category (d_cpt.category) -> NA,NA 
current_procedural_terminology_dictionary.code_suffix (d_cpt.codesuffix) -> NA,NA 
current_procedural_terminology_dictionary.maximum_code_in_subsection (d_cpt.maxcodeinsubsection) -> NA,NA 
current_procedural_terminology_dictionary.minimum_code_in_subsection (d_cpt.mincodeinsubsection) -> NA,NA 
current_procedural_terminology_dictionary.row_identifier (d_cpt.row_id) -> NA,NA 
current_procedural_terminology_dictionary.primary_section_current_procedural_terminology_code (d_cpt.sectionheader) -> NA,NA 
current_procedural_terminology_dictionary.section_code_range (d_cpt.sectionrange) -> NA,NA 
current_procedural_terminology_dictionary.subsection_current_procedural_terminology_code (d_cpt.subsectionheader) -> NA,NA 
current_procedural_terminology_dictionary.subsection_code_range (d_cpt.subsectionrange) -> NA,NA 
current_procedural_terminology_events.event_date (cptevents.chartdate) -> procedure_record.procedure_datetime(procedure_occurrence.procedure_datetime) -> None.None
current_procedural_terminology_events.event_date (cptevents.chartdate) -> procedure_record.procedure_date(procedure_occurrence.procedure_date) -> None.None
current_procedural_terminology_events.recording_center (cptevents.costcenter) -> NA,NA 
current_procedural_terminology_events.current_procedural_terminology_code (cptevents.cpt_cd) -> procedure_record.procedure_source_code(procedure_occurrence.procedure_source_value) -> None.None
current_procedural_terminology_events.current_procedural_terminology_code_number (cptevents.cpt_number) -> NA,NA 
current_procedural_terminology_events.current_procedural_terminology_code_suffix (cptevents.cpt_suffix) -> NA,NA 
current_procedural_terminology_events.current_procedural_terminology_code_description (cptevents.description) -> NA,NA 
current_procedural_terminology_events.hospital_stay_identifier (cptevents.hadm_id) -> procedure_record.visit_occurrence_identifier(procedure_occurrence.visit_occurrence_id) -> visit_record.visit_occurrence_identifier
current_procedural_terminology_events.unique_row_identifier (cptevents.row_id) -> procedure_record.procedure_record_identifier(procedure_occurrence.procedure_occurrence_id) -> None.None
current_procedural_terminology_events.primary_section_current_procedural_terminology_code (cptevents.sectionheader) -> NA,NA 
current_procedural_terminology_events.patient_identifier (cptevents.subject_id) -> procedure_record.person_identifier(procedure_occurrence.person_id) -> patient_information.person_identifier
current_procedural_terminology_events.subsection_current_procedural_terminology_code (cptevents.subsectionheader) -> procedure_record.procedure_source_code(procedure_occurrence.procedure_source_value) -> None.None
current_procedural_terminology_events.event_sequence_number (cptevents.ticket_id_seq) -> NA,NA 
datetime_related_events.caregiver_identifier (datetimeevents.cgid) -> observation_records.provider_identifier(observation.provider_id) -> healthcare_provider.provider_identifier
datetime_related_events.event_time (datetimeevents.charttime) -> observation_records.observation_datetime(observation.observation_datetime) -> None.None
datetime_related_events.event_time (datetimeevents.charttime) -> observation_records.observation_date(observation.observation_date) -> None.None
datetime_related_events.error_flag (datetimeevents.error) -> NA,NA 
datetime_related_events.hospital_admission_identifier (datetimeevents.hadm_id) -> observation_records.visit_occurrence_identifier(observation.visit_occurrence_id) -> visit_record.visit_occurrence_identifier
datetime_related_events.intensive_care_unit_stay_identifier (datetimeevents.icustay_id) -> NA,NA 
datetime_related_events.charted_item_identifier (datetimeevents.itemid) -> NA,NA 
datetime_related_events.result_status (datetimeevents.resultstatus) -> NA,NA 
datetime_related_events.row_identifier (datetimeevents.row_id) -> observation_records.observation_identifier(observation.observation_id) -> None.None
datetime_related_events.explicitly_stopped (datetimeevents.stopped) -> NA,NA 
datetime_related_events.recorded_time (datetimeevents.storetime) -> NA,NA 
datetime_related_events.patient_identifier (datetimeevents.subject_id) -> observation_records.person_identifier(observation.person_id) -> patient_information.person_identifier
datetime_related_events.event_value (datetimeevents.value) -> NA,NA 
datetime_related_events.value_unit_of_measurement (datetimeevents.valueuom) -> observation_records.unit_source_code(observation.unit_source_value) -> None.None
datetime_related_events.warning_flag (datetimeevents.warning) -> NA,NA 
diagnosis_related_group_details.diagnosis_related_group_description (drgcodes.description) -> observation_records.value_as_text(observation.value_as_string) -> None.None
diagnosis_related_group_details.diagnosis_related_group_code (drgcodes.drg_code) -> NA,NA 
diagnosis_related_group_details.diagnosis_related_group_mortality (drgcodes.drg_mortality) -> NA,NA 
diagnosis_related_group_details.diagnosis_related_group_severity (drgcodes.drg_severity) -> NA,NA 
diagnosis_related_group_details.diagnosis_related_group_type (drgcodes.drg_type) -> NA,NA 
diagnosis_related_group_details.hospital_stay_id (drgcodes.hadm_id) -> observation_records.visit_occurrence_identifier(observation.visit_occurrence_id) -> visit_record.visit_occurrence_identifier
diagnosis_related_group_details.row_identifier (drgcodes.row_id) -> observation_records.observation_identifier(observation.observation_id) -> None.None
diagnosis_related_group_details.patient_id (drgcodes.subject_id) -> observation_records.person_identifier(observation.person_id) -> patient_information.person_identifier
discharge_log.response_status (callout.acknowledge_status) -> NA,NA 
discharge_log.response_time (callout.acknowledgetime) -> NA,NA 
discharge_log.discharge_outcome (callout.callout_outcome) -> NA,NA 
discharge_log.discharge_service (callout.callout_service) -> NA,NA 
discharge_log.discharge_status (callout.callout_status) -> NA,NA 
discharge_log.destination_ward_id (callout.callout_wardid) -> NA,NA 
discharge_log.creation_time (callout.createtime) -> NA,NA 
discharge_log.current_care_unit (callout.curr_careunit) -> NA,NA 
discharge_log.current_ward_id (callout.curr_wardid) -> visit_information_detail.admission_source_code(visit_detail.admitted_from_source_value) -> None.None
discharge_log.latest_reservation_time (callout.currentreservationtime) -> NA,NA 
discharge_log.discharge_ward_id (callout.discharge_wardid) -> visit_information_detail.discharge_location_code(visit_detail.discharged_to_source_value) -> None.None
discharge_log.initial_reservation_time (callout.firstreservationtime) -> NA,NA 
discharge_log.hospital_stay_id (callout.hadm_id) -> visit_information_detail.visit_occurrence_identifier(visit_detail.visit_occurrence_id) -> visit_record.visit_occurrence_identifier
discharge_log.outcome_time (callout.outcometime) -> visit_information_detail.visit_start_timestamp(visit_detail.visit_detail_start_datetime) -> None.None
discharge_log.special_precautions_cdifficile (callout.request_cdiff) -> NA,NA 
discharge_log.special_precautions_mrsa (callout.request_mrsa) -> NA,NA 
discharge_log.special_precautions_respiratory (callout.request_resp) -> NA,NA 
discharge_log.special_precautions_telemetry (callout.request_tele) -> NA,NA 
discharge_log.special_precautions_vre (callout.request_vre) -> NA,NA 
discharge_log.row_identifier (callout.row_id) -> visit_information_detail.visit_detail_identifier(visit_detail.visit_detail_id) -> None.None
discharge_log.patient_id (callout.subject_id) -> visit_information_detail.person_identifier(visit_detail.person_id) -> patient_information.person_identifier
discharge_log.submitted_from_care_unit (callout.submit_careunit) -> visit_information_detail.visit_concept_identifier(visit_detail.visit_detail_concept_id) -> None.None
discharge_log.submitted_from_ward_id (callout.submit_wardid) -> visit_information_detail.unit_identifier(visit_detail.care_site_id) -> healthcare_delivery_unit.unit_identifier
discharge_log.last_update_time (callout.updatetime) -> NA,NA 
hospital_admissions.admission_source (admissions.admission_location) -> visit_information_detail.admission_source_code(visit_detail.admitted_from_source_value) -> None.None
hospital_admissions.admission_source (admissions.admission_location) -> visit_record.admission_source_code(visit_occurrence.admitted_from_source_value) -> None.None
hospital_admissions.admission_category (admissions.admission_type) -> visit_record.visit_source_code(visit_occurrence.visit_source_value) -> None.None
hospital_admissions.admission_time (admissions.admittime) -> visit_record.visit_start_date_time(visit_occurrence.visit_start_datetime) -> None.None
hospital_admissions.admission_time (admissions.admittime) -> condition_record.condition_start_timestamp(condition_occurrence.condition_start_datetime) -> None.None
