dataset,strategy,P,Recall,f1
imdb-sakila,No Rewrite,0.92,0.92,0.92
cms-omop,No Rewrite,0.51,0.47,0.49
cprd_aurum-omop,No Rewrite,0.32,0.73,0.45
cprd_gold-omop,No Rewrite,0.23,0.59,0.33
mimic_iii-omop,No Rewrite,0.41,0.82,0.54
imdb-sakila,GPT-3.5 Rewrite,1.0,0.92,0.96
cms-omop,GPT-3.5 Rewrite,0.58,0.41,0.48
cprd_aurum-omop,GPT-3.5 Rewrite,0.34,0.69,0.45
cprd_gold-omop,GPT-3.5 Rewrite,0.28,0.62,0.39
mimic_iii-omop,GPT-3.5 Rewrite,0.48,0.76,0.59
imdb-sakila,GPT-4o Rewrite,0.9,0.75,0.82
cms-omop,GPT-4o Rewrite,0.59,0.4,0.48
cprd_aurum-omop,GPT-4o Rewrite,0.3,0.67,0.42
cprd_gold-omop,GPT-4o Rewrite,0.19,0.41,0.26
mimic_iii-omop,GPT-4o Rewrite,0.49,0.83,0.62
