dataset,Rewrite Strategy,P,Recall,f1
IMDB-Sakila,No Rewrite,0.92,0.92,0.92
OMOP-CMS,No Rewrite,0.77,0.71,0.74
CPRD Aurum-OMOP,No Rewrite,0.32,0.73,0.45
CPRD Gold-OMOP,No Rewrite,0.23,0.59,0.33
MIMIC-OMOP,No Rewrite,0.41,0.82,0.54
IMDB-Sakila,GPT-3.5 Rewrite,1.0,0.92,0.96
OMOP-CMS,GPT-3.5 Rewrite,0.57,0.53,0.55
CPRD Aurum-OMOP,GPT-3.5 Rewrite,0.34,0.69,0.45
CPRD Gold-OMOP,GPT-3.5 Rewrite,0.28,0.62,0.39
MIMIC-OMOP,GPT-3.5 Rewrite,0.48,0.76,0.59
IMDB-Sakila,GPT-4o Rewrite,0.9,0.75,0.82
OMOP-CMS,GPT-4o Rewrite,0.75,0.51,0.61
CPRD Aurum-OMOP,GPT-4o Rewrite,0.3,0.67,0.42
CPRD Gold-OMOP,GPT-4o Rewrite,0.19,0.41,0.26
MIMIC-OMOP,GPT-4o Rewrite,0.49,0.83,0.62
