Constraint Name	Child Column	Parent Column	Delete Rule
fpk_ca_attribute_definition	cohort_attribute.attribute_definition_id	attribute_definition.attribute_definition_id	Restrict delete
fpk_ca_cohort_definition	cohort_attribute.cohort_definition_id	cohort_definition.cohort_definition_id	Restrict delete
fpk_ca_value	cohort_attribute.value_as_concept_id	concept.concept_id	Restrict delete
fpk_care_site_location	care_site.location_id	location.location_id	Restrict delete
fpk_care_site_place	care_site.place_of_service_concept_id	concept.concept_id	Restrict delete
fpk_cohort_definition	cohort.cohort_definition_id	cohort_definition.cohort_definition_id	Restrict delete
fpk_cohort_definition_concept	cohort_definition.definition_type_concept_id	concept.concept_id	Restrict delete
fpk_concept_ancestor_concept_1	concept_ancestor.ancestor_concept_id	concept.concept_id	Restrict delete
fpk_concept_ancestor_concept_2	concept_ancestor.descendant_concept_id	concept.concept_id	Restrict delete
fpk_concept_class	concept.concept_class_id	concept_class.concept_class_id	Restrict delete
fpk_concept_class_concept	concept_class.concept_class_concept_id	concept.concept_id	Restrict delete
fpk_concept_domain	concept.domain_id	domain.domain_id	Restrict delete
fpk_concept_relationship_c_1	concept_relationship.concept_id_1	concept.concept_id	Restrict delete
fpk_concept_relationship_c_2	concept_relationship.concept_id_2	concept.concept_id	Restrict delete
fpk_concept_relationship_id	concept_relationship.relationship_id	relationship.relationship_id	Restrict delete
fpk_concept_synonym_concept	concept_synonym.concept_id	concept.concept_id	Restrict delete
fpk_concept_vocabulary	concept.vocabulary_id	vocabulary.vocabulary_id	Restrict delete
fpk_condition_concept	condition_occurrence.condition_concept_id	concept.concept_id	Restrict delete
fpk_condition_concept_s	condition_occurrence.condition_source_concept_id	concept.concept_id	Restrict delete
fpk_condition_era_concept	condition_era.condition_concept_id	concept.concept_id	Restrict delete
fpk_condition_era_person	condition_era.person_id	person.person_id	Restrict delete
fpk_condition_person	condition_occurrence.person_id	person.person_id	Restrict delete
fpk_condition_provider	condition_occurrence.provider_id	provider.provider_id	Restrict delete
fpk_condition_status_concept	condition_occurrence.condition_status_concept_id	concept.concept_id	Restrict delete
fpk_condition_type_concept	condition_occurrence.condition_type_concept_id	concept.concept_id	Restrict delete
fpk_condition_visit	condition_occurrence.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_condition_visit_detail	condition_occurrence.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_death_cause_concept	death.cause_concept_id	concept.concept_id	Restrict delete
fpk_death_cause_concept_s	death.cause_source_concept_id	concept.concept_id	Restrict delete
fpk_death_person	death.person_id	person.person_id	Restrict delete
fpk_death_type_concept	death.death_type_concept_id	concept.concept_id	Restrict delete
fpk_device_concept	device_exposure.device_concept_id	concept.concept_id	Restrict delete
fpk_device_concept_s	device_exposure.device_source_concept_id	concept.concept_id	Restrict delete
fpk_device_person	device_exposure.person_id	person.person_id	Restrict delete
fpk_device_provider	device_exposure.provider_id	provider.provider_id	Restrict delete
fpk_device_type_concept	device_exposure.device_type_concept_id	concept.concept_id	Restrict delete
fpk_device_visit	device_exposure.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_device_visit_detail	device_exposure.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_domain_concept	domain.domain_concept_id	concept.concept_id	Restrict delete
fpk_dose_era_concept	dose_era.drug_concept_id	concept.concept_id	Restrict delete
fpk_dose_era_person	dose_era.person_id	person.person_id	Restrict delete
fpk_dose_era_unit_concept	dose_era.unit_concept_id	concept.concept_id	Restrict delete
fpk_drg_concept	cost.drg_concept_id	concept.concept_id	Restrict delete
fpk_drug_concept	drug_exposure.drug_concept_id	concept.concept_id	Restrict delete
fpk_drug_concept_s	drug_exposure.drug_source_concept_id	concept.concept_id	Restrict delete
fpk_drug_era_concept	drug_era.drug_concept_id	concept.concept_id	Restrict delete
fpk_drug_era_person	drug_era.person_id	person.person_id	Restrict delete
fpk_drug_person	drug_exposure.person_id	person.person_id	Restrict delete
