imdb,saki,des1,des2,label,d1,d2,d3,d4
title_akas-titleid,actor-actor_id,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.;a surrogate primary key used to uniquely identify each actor in the table.,0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.,a surrogate primary key used to uniquely identify each actor in the table.
title_akas-titleid,actor-first_name,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.;the actor first name.,0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.,the actor first name.
title_akas-titleid,actor-last_name,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.;the actor last name.,0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.,the actor last name.
title_akas-titleid,actor-last_update,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.;when the row was created or most recently updated.,0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.",the actor table lists information for all actors.,when the row was created or most recently updated.
title_akas-titleid,address-address_id,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;a surrogate primary key used to uniquely identify each address in the table.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",a surrogate primary key used to uniquely identify each address in the table.
title_akas-titleid,address-address,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;the first line of an address",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",the first line of an address
title_akas-titleid,address-address2,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;an optional second line of an address.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",an optional second line of an address.
title_akas-titleid,address-district,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;the region of an address, this may be a state, province, prefecture, etc.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.","the region of an address, this may be a state, province, prefecture, etc."
title_akas-titleid,address-city_id,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;a foreign key pointing to the city table.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",a foreign key pointing to the city table.
title_akas-titleid,address-postal_code,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;the postal code or zip code of the address (where applicable).",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",the postal code or zip code of the address (where applicable).
title_akas-titleid,address-phone,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;the telephone number for the address.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",the telephone number for the address.
title_akas-titleid,address-last_update,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;when the row was created or most recently updated.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",when the row was created or most recently updated.
title_akas-titleid,address-location,"contains the following common information for titles.;a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.;a geometry column with a spatial index on it.",0,contains the following common information for titles.,"a tconst, an alphanumeric unique identifier of the title.","the address table contains address information for customers, staff, and stores.",a geometry column with a spatial index on it.
